date,area,fuel_type,total_energy_produced,day_peak,evening_peak,Demand,Supply,total_fuel_cost,apparent_temperature_mean (°C),total_fuel_quantity,district,fuel,temperature_class,season
2019-09-30,Rajshahi,HFO,377706246,543,894,34074,34074,997120391.5,33.51034483,23740961.7,8,2,0,summer
2019-09-30,Rangpur,HFO,276765416,452,493,19795,19795,447335937.6,32.9862069,10650855.66,9,2,0,summer
2019-09-30,Rajshahi,Gas,377706246,543,894,34074,34074,78724883.49,33.51034483,624800662.6,8,0,0,summer
2019-09-30,Sylhet,Gas,628645501,956,984,14293,14293,652743715.4,32.9862069,5180505678,5,0,0,summer
2019-09-30,Mymensingh,Gas,261504835,431.2,557,26205,26205,74301749.8,33.2137931,589696427,4,0,0,summer
2019-09-30,Barisal,HFO,201981929,301,424,9300,9300,224680112.6,33.25517241,5349526.491,7,2,0,summer
2019-09-30,Rajshahi,Gas/HSD,377706246,543,894,34074,34074,169455053.3,33.51034483,2118188.166,8,4,0,summer
2019-09-30,Chattogram,HFO,324124453,662,773,32221,32221,1854381814,32.51724138,44151947.96,2,2,0,summer
2019-09-30,Chattogram,Solar,324124453,662,773,32221,32221,28858539.6,32.51724138,2885853.96,2,5,0,summer
2019-09-30,Cumilla,Gas,758581079,1231,1349,30447,30447,665115284.7,32.95862069,5278692736,3,0,0,summer
2019-09-30,Cumilla,HFO,758581079,1231,1349,30447,30447,172734929.6,32.95862069,4112736.418,3,2,0,summer
2019-09-30,Khulna,HSD,146808460,215,550,37611,37611,212410396.1,33.35555556,3267852.248,6,3,0,summer
2019-09-30,Rangpur,Coal,276765416,452,493,19795,19795,1018503891,32.9862069,88105872.93,9,1,0,summer
2019-09-30,Chattogram,Gas,324124453,662,773,32221,32221,201007492.5,32.51724138,1595297559,2,0,0,summer
2019-09-30,Cumilla,HSD,287130389,1179,1349,12237,12237,37118054.4,34.13636364,571046.9908,3,3,0,summer
2019-09-30,Dhaka,Gas,1216641240,2133,2532,116873,116873,822557136.5,33.2137931,6528231242,1,0,0,summer
2019-09-30,Mymensingh,Solar,261504835,431.2,557,26205,26205,4616682,33.2137931,461668.2,4,5,0,summer
2019-09-30,Khulna,HFO,151335682,215,550,40008,40008,1351941579,33.20344828,32189085.21,6,2,0,summer
2019-09-30,Dhaka,HFO,1216641240,2133,2532,116873,116873,2529075007,33.2137931,60216071.59,1,2,0,summer
2019-09-30,Barisal,Gas,201981929,301,424,9300,9300,201298092.4,33.25517241,1597603908,7,0,0,summer
2019-09-30,Mymensingh,HFO,261504835,431.2,557,26205,26205,1574765714,33.2137931,37494421.77,4,2,0,summer
2019-09-30,Rajshahi,HSD,14667969,470,824,1265,1265,665754.3,35.2,10242.37385,8,3,0,summer
2019-10-31,Rangpur,HSD,240322037,399,491,17285,17285,93253110,29.79285714,1434663.231,9,3,2,fall
2019-10-31,Rangpur,HFO,249445453,399,491,17847,17847,251246635.1,29.72758621,5982062.741,9,2,2,fall
2019-10-31,Barisal,HFO,208063051,337,414,8715,8715,212927266.2,31.85333333,5069696.814,7,2,0,summer
2019-10-31,Chattogram,Gas,319688179,526.8,849,32101,32101,174280833.4,32.10333333,1383181218,2,0,0,summer
2019-10-31,Mymensingh,Gas,201966340,306.5,536,23803,23803,86507179.2,30.4,686564914.3,4,0,0,summer
2019-10-31,Rajshahi,HFO,357388693,586,880,30312,30312,542434993.9,30.62333333,12915118.9,8,2,0,summer
2019-10-31,Rangpur,Coal,256667707,399,491,18289,18289,987253666.4,29.43333333,85402566.3,9,1,2,fall
2019-10-31,Sylhet,Gas,587506742,917,968,12987,12987,603407921,29.43333333,4788951754,5,0,2,fall
2019-10-31,Dhaka,HFO,1107729075,1928,2277,113946,113946,1474512840,31.14333333,35107448.58,1,2,0,summer
2019-10-31,Cumilla,Gas,812341814,1314,1344,29315,29315,732784934.7,31.21,5815753450,3,0,0,summer
2019-10-31,Mymensingh,HFO,201966340,306.5,536,23803,23803,895734796.8,30.4,21327018.97,4,2,0,summer
2019-10-31,Rajshahi,Gas,357388693,586,880,30312,30312,48132387.29,30.62333333,382003073.7,8,0,0,summer
2019-10-31,Chattogram,Solar,319688179,526.8,849,32101,32101,37520463.6,32.10333333,3752046.36,2,5,0,summer
2019-10-31,Dhaka,Gas,1107729075,1928,2277,113946,113946,793451842.8,31.14333333,6297236848,1,0,0,summer
2019-10-31,Khulna,HSD,30422476,137,482,13324,13324,11924640,32.86,183456,6,3,0,summer
2019-10-31,Dhaka,HSD,79531268,1753,2240,8224,8224,1652882.5,31.45,25428.96154,1,3,0,summer
2019-10-31,Barisal,Gas,208063051,337,414,8715,8715,199958405.3,31.85333333,1586971471,7,0,0,summer
2019-10-31,Cumilla,HFO,736378595,1314,1344,26771,26771,43184168.92,31.41481481,1028194.498,3,2,0,summer
2019-10-31,Chattogram,HFO,319688179,526.8,849,32101,32101,1998829993,32.10333333,47591190.3,2,2,0,summer
2019-10-31,Mymensingh,Solar,194684580,306.5,536,22964,22964,4941320,30.4,494132,4,5,0,summer
2019-10-31,Rajshahi,Gas/HSD,357388693,586,880,30312,30312,198050254.9,30.62333333,2475628.186,8,4,0,summer
2019-10-31,Khulna,HFO,68980251,137,482,36911,36911,672415329.3,31.65,16009888.79,6,2,0,summer
2019-11-30,Cumilla,HFO,177527720,1225,1195,5657,5657,1086405,27.84285714,25866.78571,3,2,2,fall
2019-11-30,Barisal,HFO,102737371,258,315,4743,4743,46543787.64,27.13333333,1108185.42,7,2,2,fall
2019-11-30,Mymensingh,Gas,150100210,254.4,454,19970,19970,87833767,26.41333333,697093388.9,4,0,2,fall
2019-11-30,Dhaka,HFO,921130823,1853,2097,99824,99824,569803368.9,26.58333333,13566746.88,1,2,2,fall
2019-11-30,Chattogram,Solar,227353913,565,697,27039,27039,37609263.9,26.66896552,3760926.39,2,5,2,fall
2019-11-30,Dhaka,Gas,921130823,1853,2097,99824,99824,713740486.4,26.58333333,5664607035,1,0,2,fall
2019-11-30,Chattogram,HFO,230859396,565,697,27852,27852,979124897.3,26.54333333,23312497.56,2,2,2,fall
2019-11-30,Mymensingh,HFO,150100210,254.4,454,19970,19970,408618463.2,26.41333333,9729011.029,4,2,2,fall
2019-11-30,Mymensingh,Solar,141505490,254.4,454,18718,18718,7339656,26.43571429,733965.6,4,5,2,fall
2019-11-30,Rajshahi,Gas/HSD,316990679,548,739,25255,25255,191646126.2,26.06333333,2395576.577,8,4,2,fall
2019-11-30,Sylhet,Gas,617144947,1021,1045,10663,10663,614316690.4,25.75666667,4875529289,5,0,2,fall
2019-11-30,Barisal,Gas,144636970,258,315,6356,6356,135140603,27.16333333,1072544468,7,0,2,fall
2019-11-30,Khulna,HSD,2353478,17,282,2274,2274,892320,29.25,13728,6,3,2,fall
2019-11-30,Rajshahi,Gas,316990679,548,739,25255,25255,55691177.08,26.06333333,441993468.9,8,0,2,fall
2019-11-30,Cumilla,Gas,727256109,1225,1218,22707,22707,657228864.7,26.06,5216102101,3,0,2,fall
2019-11-30,Khulna,HFO,14495035,35,282,28855,28855,138636549.4,26.5,3300870.224,6,2,2,fall
2019-11-30,Rangpur,HFO,183054506,358,492,16100,16100,90447439.2,25.75666667,2153510.457,9,2,2,fall
2019-11-30,Rangpur,Coal,183054506,358,492,16100,16100,733464470.4,25.75666667,63448483.6,9,1,2,fall
2019-11-30,Rajshahi,HFO,316990679,548,739,25255,25255,179749760.1,26.06333333,4279756.193,8,2,2,fall
2019-11-30,Rangpur,HSD,41026723,358,492,3371,3371,5085450,26.5,78237.69231,9,3,2,fall
2019-11-30,Chattogram,Gas,230859396,565,697,27852,27852,203537474.5,26.54333333,1615376781,2,0,2,fall
2019-12-31,Rangpur,HFO,151257380,280,403,16065,16065,91867119.2,17.33225806,2187312.362,9,2,1,winter
2019-12-31,Cumilla,HFO,61022818,930,998,2149,2149,2787766.08,21.36666667,66375.38286,3,2,1,winter
2019-12-31,Rajshahi,Gas/HSD,304784443,547,662,23903,23903,185450955.7,18.45517241,2318136.946,8,4,1,winter
2019-12-31,Barisal,Gas,110340878,222,264,6867,6867,90432010.59,20.10322581,717714369.8,7,0,1,winter
2019-12-31,Dhaka,Gas,844423853,1537,2062,90649,90649,711330776.7,19.00645161,5645482355,1,0,1,winter
2019-12-31,Khulna,HSD,2302194,188,278,1032,1032,2028000,16.1,31200,6,3,1,winter
2019-12-31,Khulna,Gas,15309648,345,418,2036,2036,10824727.68,17.25,85910537.14,6,0,1,winter
2019-12-31,Rajshahi,HFO,309567005,547,662,25451,25451,136276728.2,18.40967742,3244684.004,8,2,1,winter
2019-12-31,Rajshahi,Gas,309567005,547,662,25451,25451,62970286.23,18.40967742,499764176.5,8,0,1,winter
2019-12-31,Chattogram,Solar,202589184,513,712,26295,26295,33982530.4,20.00645161,3398253.04,2,5,1,winter
2019-12-31,Cumilla,Gas,658506064,1129,1203,21660,21660,586985428.5,19.11290323,4658614512,3,0,1,winter
2019-12-31,Mymensingh,HFO,143615800,272.9,412,19632,19632,381402273.6,18.18387097,9081006.514,4,2,1,winter
2019-12-31,Barisal,HFO,110340878,222,264,6867,6867,155954079.4,20.10322581,3713192.366,7,2,1,winter
2019-12-31,Mymensingh,Solar,139515600,272.9,412,19009,19009,4460800,18.28333333,446080,4,5,1,winter
2019-12-31,Khulna,HFO,34560339,345,418,30198,30198,193680717.9,19.78709677,4611445.663,6,2,1,winter
2019-12-31,Chattogram,Gas,202589184,513,712,26295,26295,229770344.1,20.00645161,1823574159,2,0,1,winter
2019-12-31,Rangpur,Coal,151257380,280,403,16065,16065,578413935,17.33225806,50035807.53,9,1,1,winter
2019-12-31,Dhaka,HFO,844423853,1537,2062,90649,90649,482148398.8,19.00645161,11479723.78,1,2,1,winter
2019-12-31,Chattogram,HFO,202589184,513,712,26295,26295,537459003.9,20.00645161,12796642.95,2,2,1,winter
2019-12-31,Mymensingh,Gas,143615800,272.9,412,19632,19632,84516120.8,18.18387097,670762863.5,4,0,1,winter
2019-12-31,Sylhet,Gas,457786541,845,906,9848,9848,496793796.9,17.33225806,3942807912,5,0,1,winter
2020-01-31,Khulna,HFO,72598469,444,558,29813,29813,288704181.7,18.16896552,4656519.06,6,2,1,winter
2020-01-31,Cumilla,Gas,743077006,1230,1277,21176.3,21176.3,662674484.2,18.02666667,5259321303,3,0,1,winter
2020-01-31,Chattogram,Solar,184144087,649.3,716,26468,26468,33712967.54,19.09666667,2809413.962,2,5,1,winter
2020-01-31,Mymensingh,HFO,127414730,314.6,492,20637,20637,402751936.8,17.04,6495998.981,4,2,1,winter
2020-01-31,Mymensingh,Solar,117376450,314.6,492,18662,18662,3812180,17.02962963,317681.6667,4,5,1,winter
2020-01-31,Rangpur,Coal,192976623,479,524,17456,17456,832980502.3,16.06333333,72292274.38,9,1,1,winter
2020-01-31,Chattogram,Gas,184144087,649.3,716,26468,26468,177326538.2,19.09666667,1407353478,2,0,1,winter
2020-01-31,Dhaka,HFO,1018230583,1994,2154,86187,86187,856727762.1,17.51333333,13818189.71,1,2,1,winter
2020-01-31,Rajshahi,Gas,325129245,528,644,26475,26475,70366961.76,16.86,558467950.5,8,0,1,winter
2020-01-31,Rajshahi,Gas/HSD,325129245,528,644,26475,26475,196610624.1,16.86,2313066.165,8,4,1,winter
2020-01-31,Rajshahi,HFO,315519531,528,644,25717,25717,108267626,16.78965517,1746252.033,8,2,1,winter
2020-01-31,Barisal,Gas,126962193,230,353,6905,6905,120972611.8,18.65,960100093.8,7,0,1,winter
2020-01-31,Rangpur,HSD,8515256,325,473,602,602,56460,13,705.75,9,3,1,winter
2020-01-31,Dhaka,Gas,1018230583,1994,2154,86187,86187,801169697.5,17.51333333,6358489663,1,0,1,winter
2020-01-31,Rangpur,HFO,184864723,479,524,16403,16403,82075735.68,15.99285714,1323802.188,9,2,1,winter
2020-01-31,Sylhet,Gas,566260953,1052,1065,9519,9519,568266242.4,16.06333333,4510049543,5,0,1,winter
2020-01-31,Khulna,Gas,59730127,444,558,8927,8927,37766252.16,19.06666667,299732160,6,0,1,winter
2020-01-31,Mymensingh,Gas,127414730,314.6,492,20637,20637,68812924,17.04,546134317.5,4,0,1,winter
2020-01-31,Barisal,HFO,97160918,226,353,5291,5291,87181627.8,18.16956522,1406155.287,7,2,1,winter
2020-01-31,Chattogram,HFO,184144087,649.3,716,26468,26468,679707405,19.09666667,10963022.66,2,2,1,winter
2020-02-29,Rajshahi,Gas,300194846,529,654,27511,27511,22921074.71,19.22758621,181913291.3,8,0,1,winter
2020-02-29,Chattogram,Gas,203178696,549.17,951,25822,25822,181087875.3,20.3137931,1437205359,2,0,1,winter
2020-02-29,Rangpur,HSD,8792056,380,473,679,679,4968480,17,62106,9,3,1,winter
2020-02-29,Dhaka,Gas,955327837,1711,2061,86798,86798,697800291.3,19.78965517,5538097550,1,0,1,winter
2020-02-29,Rangpur,HFO,252645870,510,514,18156,18156,168986752,18.41785714,2725592.774,9,2,1,winter
2020-02-29,Dhaka,HSD,35442616,1569,1764,3207,3207,82080.5,22.1,1026.00625,1,3,1,winter
2020-02-29,Rajshahi,HFO,300194846,529,654,27511,27511,238935900.1,19.22758621,3853804.84,8,2,1,winter
2020-02-29,Chattogram,HFO,203178696,549.17,951,25822,25822,842529861.6,20.3137931,13589191.32,2,2,1,winter
2020-02-29,Dhaka,HFO,955327837,1711,2061,86798,86798,846818622.3,19.78965517,13658364.88,1,2,1,winter
2020-02-29,Cumilla,Gas,723907683,1201,1194,21524.4,21524.4,653679581,20.0862069,5187933183,3,0,1,winter
2020-02-29,Rangpur,Coal,261339524,510,514,18769,18769,1146216164,18.42413793,99477206.47,9,1,1,winter
2020-02-29,Sylhet,Gas,580715494,1037,1086,9371,9371,599805975,18.42413793,4760364881,5,0,1,winter
2020-02-29,Barisal,Gas,119816631,309,377,6560,6560,121208926.5,20.81724138,961975607.1,7,0,1,winter
2020-02-29,Khulna,Gas,234298900,479,512,30474,30474,162314334,20.7137931,1288209000,6,0,1,winter
2020-02-29,Mymensingh,HFO,189213310,369.2,500,21463,21463,971131008.4,19.41724138,15663403.36,4,2,1,winter
2020-02-29,Mymensingh,Gas,189213310,369.2,500,21463,21463,68253946.4,19.41724138,541697987.3,4,0,1,winter
2020-02-29,Barisal,HFO,86503557,309,377,4551,4551,73692552.96,21.285,1188589.564,7,2,1,winter
2020-02-29,Chattogram,Solar,203178696,549.17,951,25822,25822,38230265.92,20.3137931,3185855.493,2,5,1,winter
2020-02-29,Rajshahi,Gas/HSD,300194846,529,654,27511,27511,187038045.7,19.22758621,2200447.597,8,4,1,winter
2020-02-29,Khulna,HFO,234298900,479,512,30474,30474,249047313.5,20.7137931,4016892.153,6,2,1,winter
2020-02-29,Mymensingh,Solar,183035590,369.2,500,20731,20731,5115980,19.51428571,426331.6667,4,5,1,winter
2020-02-29,Cumilla,HFO,275659244,1201,1149,8193,8193,3605224.16,19.97272727,58148.77677,3,2,1,winter
2020-03-31,Rangpur,Coal,275672921,496,502,19444,19444,1184725790,24.15,102819359.7,9,1,2,fall
2020-03-31,Rajshahi,HSD,27808193,630,768,2043,2043,41678343,25.9,520979.2875,8,3,2,fall
2020-03-31,Dhaka,Gas,1075967172,1889,2123,96863,96863,783878654.2,26.42333333,6221259160,1,0,2,fall
2020-03-31,Dhaka,HFO,1075967172,1889,2123,96863,96863,1176312612,26.42333333,18972784.06,1,2,2,fall
2020-03-31,Chattogram,HFO,225473645,488,715,31450,31450,1071115452,27.24,17276055.68,2,2,2,fall
2020-03-31,Rajshahi,HFO,355968550,642,787,30438,30438,410313882,25.81333333,6617965.838,8,2,2,fall
2020-03-31,Rangpur,HSD,45281283,496,477,3364,3364,8327850,25.4,104098.125,9,3,2,fall
2020-03-31,Cumilla,Gas,711407980,1204,1208,26121,26121,637119312.7,26.37666667,5056502482,3,0,2,fall
2020-03-31,Rangpur,HFO,275672921,496,502,19444,19444,197094729.6,24.15,3178947.252,9,2,2,fall
2020-03-31,Khulna,Gas,269984396,485,639,34731,34731,187513937.3,27.95666667,1488205851,6,0,2,fall
2020-03-31,Chattogram,Solar,225473645,488,715,31450,31450,38057266.8,27.24,3171438.9,2,5,2,fall
2020-03-31,Rajshahi,Gas/HSD,355968550,642,787,30438,30438,209465870.4,25.81333333,2464304.358,8,4,2,fall
2020-03-31,Khulna,HFO,269984396,485,639,34731,34731,294990107.1,27.95666667,4757904.954,6,2,2,fall
2020-03-31,Cumilla,HFO,263387027,1204,1208,9983,9983,5883392.8,27.06363636,94893.43226,3,2,2,fall
2020-03-31,Chattogram,Gas,225473645,488,715,31450,31450,182105039.1,27.24,1445278088,2,0,2,fall
2020-03-31,Barisal,Coal,12594377,491,592,249,249,34583981,30.9,3001456.381,7,1,0,summer
2020-03-31,Barisal,HFO,117096374,328,413,4773,4773,64950364.8,27.23,1047586.529,7,2,2,fall
2020-03-31,Barisal,Gas,169483412,491,592,7238,7238,160901420,27.84,1276995397,7,0,2,fall
2020-03-31,Sylhet,Gas,632303917,1045,1043,10565,10565,646001962.1,24.15,5126999699,5,0,2,fall
2020-03-31,Mymensingh,Solar,225364680,413,524,23251,23251,6496236,25.20689655,541353,4,5,2,fall
2020-03-31,Khulna,HSD,156290633,485,639,20446,20446,27694368,29.01176471,346179.6,6,3,2,fall
2020-03-31,Rajshahi,Gas,355968550,642,787,30438,30438,38773589.35,25.81333333,307726899.6,8,0,2,fall
2020-03-31,Rangpur,Solar,9149742,454.4,459,714,714,556732.15,25.2,46394.34583,9,5,2,fall
2020-03-31,Mymensingh,Gas,232059640,413,538,24039,24039,105667902.4,25.21333333,838634146,4,0,2,fall
2020-03-31,Mymensingh,HFO,232059640,413,538,24039,24039,978541257.6,25.21333333,15782923.51,4,2,2,fall
2020-04-30,Dhaka,Gas,837932725,1617,1657,74426,74426,876345525.8,31.01333333,6955123221,1,0,0,summer
2020-04-30,Khulna,HSD,168137632,436,623,23508,23508,72927993.6,33.24444444,911599.92,6,3,0,summer
2020-04-30,Rajshahi,Gas/HSD,462522483,768,965,31450,31450,338434070,30,3981577.295,8,4,0,summer
2020-04-30,Cumilla,Gas,695591748,1119,1220,25414,25414,674563638.8,30.91666667,5353679673,3,0,0,summer
2020-04-30,Rangpur,Coal,179584580,394.2,439,19254,19254,898044853.4,27.58333333,77939045.12,9,1,2,fall
2020-04-30,Sylhet,Gas,573016350,1073,1027,9794,9794,681914238.2,27.58333333,5412017763,5,0,2,fall
2020-04-30,Rajshahi,HFO,462522483,768,965,31450,31450,645555932,30,10412192.45,8,2,0,summer
2020-04-30,Khulna,Gas,260766472,436,623,35687,35687,243526651.2,32.10666667,1932751200,6,0,0,summer
2020-04-30,Rangpur,Solar,179584580,394.2,439,19254,19254,13717724.15,27.58333333,1143143.679,9,5,2,fall
2020-04-30,Rangpur,HSD,71843911,394.1,429,7856,7856,7617510,28.22727273,95218.875,9,3,2,fall
2020-04-30,Mymensingh,Gas,201466950,479.2,531,22948,22948,142154056,28.99333333,1128206794,4,0,2,fall
2020-04-30,Khulna,HFO,254617672,436,623,34849,34849,204051861.1,32.24482759,3291159.051,6,2,0,summer
2020-04-30,Chattogram,HFO,133638983,331.2,632,25186,25186,257061221.5,31.97586207,4146148.734,2,2,0,summer
2020-04-30,Rangpur,HFO,160005894,394.2,439,16882,16882,125674821.8,27.78846154,2027013.255,9,2,2,fall
2020-04-30,Barisal,Gas,372247742,769,884,7268,7268,141839363,31.90333333,1125709230,7,0,0,summer
2020-04-30,Mymensingh,Solar,201466950,479.2,531,22948,22948,5810927,28.99333333,484243.9167,4,5,2,fall
2020-04-30,Rajshahi,Gas,462522483,768,965,31450,31450,82830621.32,30,657385883.5,8,0,0,summer
2020-04-30,Chattogram,Gas,135205307,331.2,632,25797,25797,209106203.2,31.93666667,1659573041,2,0,0,summer
2020-04-30,Barisal,HFO,95640275,769,868,2087,2087,8246184.96,32.0375,133002.9832,7,2,0,summer
2020-04-30,Mymensingh,HFO,201466950,479.2,531,22948,22948,435361152,28.99333333,7021954.065,4,2,2,fall
2020-04-30,Cumilla,HFO,586308972,1119,1220,21802,21802,110498745.4,31.064,1782237.828,3,2,0,summer
2020-04-30,Chattogram,Solar,135205307,331.2,632,25797,25797,38702609.05,31.93666667,3225217.421,2,5,0,summer
2020-04-30,Barisal,Coal,372247742,769,884,7268,7268,1116271640,31.90333333,96878396.86,7,1,0,summer
2020-04-30,Dhaka,HFO,837932725,1617,1657,74426,74426,220018155.5,31.01333333,3548679.927,1,2,0,summer
2020-05-31,Sylhet,Gas,580500366,998,979,12280,12280,721560120.5,30.10322581,5726667623,5,0,0,summer
2020-05-31,Mymensingh,HFO,218777600,382,570,23926,23926,643387200,31.4516129,10377212.9,4,2,0,summer
2020-05-31,Rajshahi,Gas/HSD,345448166,653,1040,29460,29460,255740243.2,32.66333333,3008708.744,8,4,0,summer
2020-05-31,Khulna,HFO,301157178,475,779,35826,35826,459592365.1,33.49677419,7412780.082,6,2,0,summer
2020-05-31,Khulna,Gas,301157178,475,779,35826,35826,255436372.8,33.49677419,2027272800,6,0,0,summer
